Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
195506,6.55,-4.65,1.86,0.1,4.66,-0.87,-3.21
195507,1.9,-1.36,0.63,0.1,-1.23,-1.39,-0.35
195508,0.21,-0.38,0.59,0.16,1.79,2.54,0.08
195509,-0.36,0.3,-1.06,0.16,1.77,2.58,0.2
195510,-2.68,1.5,-0.03,0.18,-0.5,0,0.01
195511,7.03,-2.46,0.51,0.17,2.67,3.65,-3
195512,1.49,2.09,-2.26,0.18,-1.33,-0.14,-0.45
195601,-3.03,0.44,1.12,0.22,-1.48,0.98,1.3
195602,3.77,-1.03,-0.55,0.19,1.97,2.92,-1.73
195603,6.64,-2.41,-0.15,0.15,3.59,-2.42,-2.86
195604,0.28,0.06,-0.16,0.19,2.57,-1.49,-1.17
195605,-5.2,1.51,-1.34,0.23,-1.62,1.97,0.08
195606,3.48,-1.47,-1.3,0.2,2.71,0.8,-1.42
195607,4.84,-1.8,0.19,0.22,2.52,-1.14,-1.9
195608,-3.18,2.02,-0.86,0.17,-0.69,2.1,0.63
195609,-5.14,1.62,1.75,0.18,-0.76,-1.36,0.98
195610,0.52,-0.13,0.01,0.25,2.46,0.43,-0.45
195611,0.36,-0.28,1.99,0.2,3.41,-1.46,2.39
195612,3.16,-0.2,-1.87,0.24,3.81,0.1,-1.25
195701,-3.58,3.57,2.55,0.27,-3.05,3.64,4.96
195702,-2.06,-0.74,-0.7,0.24,0.31,-0.12,1.11
195703,2.13,0.27,-0.48,0.23,-0.18,1.08,-0.63
195704,4.26,-1.79,-1.25,0.25,0.96,-0.54,-1.9
195705,3.45,-1.09,-2.07,0.26,0.44,0.2,-2.06
195706,-0.74,0.58,-0.07,0.24,0.77,-0.83,-1.56
195707,0.66,-0.76,0.39,0.3,-0.07,0.59,-0.56
195708,-5.11,0.07,-0.45,0.25,0.49,0.38,2.1
195709,-5.98,0.07,0.88,0.26,0.62,-4.04,2.47
195710,-4.32,-2.52,-1.83,0.29,1.94,-3.54,-0.14
195711,2.3,0.41,-2.9,0.28,1.24,-0.16,-0.82
195712,-3.91,-0.92,-1.72,0.24,7.79,-1.2,1.66
195801,4.66,4.37,4.22,0.28,-7.63,5.46,2.5
195802,-1.52,0.7,0.28,0.12,3.75,1.79,0.82
195803,3.27,0.63,-0.92,0.09,-1.85,1.15,-0.69
195804,3.09,-0.59,1.47,0.08,1.85,-0.44,1.13
195805,2.31,2.23,-0.35,0.11,-1.82,1.19,0.29
195806,2.93,-0.24,0.51,0.03,-0.87,1.96,-0.68
195807,4.39,0.48,3.1,0.07,-3.62,2.7,-2.12
195808,1.91,1.17,0.31,0.04,0.28,1.71,0.65
195809,4.66,0.14,2.98,0.19,-1.13,2.55,-0.65
195810,2.53,1.13,-1.18,0.18,3.12,1.32,-0.99
195811,3.01,2.04,-1.28,0.11,1.57,0.72,-0.36
195812,5.15,-2.05,-0.08,0.22,-0.65,1.87,-0.33
195901,0.71,3,3.03,0.21,-0.24,1.12,1.98
195902,0.95,1.53,0.99,0.19,3.4,0.58,0.39
195903,0.28,1.49,-0.38,0.22,0.13,0.36,-0.46
195904,3.66,-0.54,-1.32,0.2,3.15,0.08,-0.46
195905,1.73,-2.11,1.78,0.22,1.5,-0.71,0.9
195906,-0.25,0.66,1.38,0.25,2.91,0.91,-0.03
195907,3.17,-0.33,0.28,0.25,-0.32,-0.09,-0.41
195908,-1.39,-0.78,0.4,0.19,-0.95,-0.51,-1.13
195909,-4.8,-0.08,0.5,0.31,0.85,-0.11,-0.12
195910,1.28,1.43,-2.04,0.3,3.48,1.18,-0.07
195911,1.6,1.29,-3.27,0.26,2.26,-1.62,-0.37
195912,2.45,-0.6,-0.08,0.34,0.99,1.45,-0.52
196001,-6.98,2.05,2.69,0.33,-3.49,3.37,0.9
196002,1.17,0.56,-2.03,0.29,3.86,-0.53,-0.77
196003,-1.63,-0.47,-2.84,0.35,1.43,-0.77,-1.41
196004,-1.71,0.39,-2.37,0.19,2.81,-2.28,-1.2
196005,3.12,1.27,-3.72,0.27,4.81,-3.55,-3.5
